0, 48.875
5, 48.895833333333336
10, 48.895833333333336
15, 48.916666666666664
21, 48.916666666666664
41, 48.958333333333336
46, 48.979166666666664
51, 48.979166666666664
56, 49.0
61, 49.0
81, 49.041666666666664
86, 49.0625
91, 49.083333333333336
96, 49.083333333333336
101, 49.104166666666664
121, 49.145833333333336
126, 49.166666666666664
131, 49.166666666666664
136, 49.166666666666664
142, 49.1875
162, 49.229166666666664
167, 49.229166666666664
172, 49.25
177, 49.270833333333336
182, 49.270833333333336
202, 49.3125
207, 49.333333333333336
212, 49.354166666666664
217, 49.354166666666664
222, 49.375
242, 49.395833333333336
247, 49.416666666666664
252, 49.416666666666664
258, 49.4375
263, 49.4375
283, 49.479166666666664
288, 49.5
293, 49.5
298, 49.520833333333336
303, 49.520833333333336
323, 49.583333333333336
328, 49.583333333333336
333, 49.604166666666664
338, 49.604166666666664
343, 49.625
363, 49.645833333333336
368, 49.666666666666664
373, 49.666666666666664
378, 49.6875
384, 49.6875
404, 49.75
409, 49.75
414, 49.770833333333336
419, 49.770833333333336
424, 49.770833333333336
444, 49.8125
449, 49.833333333333336
454, 49.854166666666664
459, 49.854166666666664
464, 49.875
484, 49.916666666666664
489, 49.916666666666664
494, 49.9375
499, 49.958333333333336
504, 49.958333333333336
525, 50.0
530, 50.0
535, 50.020833333333336
540, 50.020833333333336
545, 50.020833333333336
565, 50.083333333333336
570, 50.083333333333336
575, 50.104166666666664
580, 50.104166666666664
585, 50.125
605, 50.166666666666664
610, 50.166666666666664
615, 50.1875
620, 50.1875
625, 50.208333333333336
646, 50.270833333333336
651, 50.270833333333336
656, 50.291666666666664
661, 50.291666666666664
666, 50.291666666666664
686, 50.333333333333336
691, 50.354166666666664
696, 50.354166666666664
701, 50.354166666666664
706, 50.375
726, 50.395833333333336
731, 50.416666666666664
736, 50.416666666666664
741, 50.4375
746, 50.4375
766, 50.479166666666664
771, 50.479166666666664
777, 50.5
782, 50.5
787, 50.520833333333336
807, 50.541666666666664
812, 50.5625
817, 50.5625
822, 50.5625
827, 50.583333333333336
847, 50.625
852, 50.645833333333336
